16s_accession	gram_stain	cell_shape	motility	ph_optimum	ph_optimum_min	ph_optimum_max	salinity_optimum	salinity_midpoint	salinity_min	salinity_max	ph_min	ph_max	oxygen_preference
AB425276.1.1515													anaerobe
AB547683.1.1480													
AB547674.1.1479													
AB507168.1.1517													
AB490811.1.1610													
KT343145.1.1396	positive	rod-shaped	no	6.5	6.5	6.5					3.5	7.5	anaerobe
JF750939.1.1409	negative	mixed	yes	6.0	6.0	6.0		1.75	0.0	3.5	5.5	8.5	anaerobe
AB491209.1.1485	negative	coccus-shaped	no										anaerobe
KP889099.1.1383	positive	rod-shaped	no	7.0	7.0	7.0	0.5	0.75	0.5	1.0	6.0	8.0	anaerobe
KP979748.1.1398	positive	rod-shaped	no	6.75	6.5	7.0					5.5	7.0	
KP966092.1.1345	positive		yes								6.0	6.8	anaerobe
KJ469554.1.1367													anaerobe
AB490809.1.1497	negative	rod-shaped	no	7.5	7.5	7.5		2.5	0.0	5.0	6.0	9.0	anaerobe
AB538433.1.1488	positive	coccus-shaped	no										anaerobe
AB490810.1.1469	negative	rod-shaped	no										anaerobe
AB490804.1.1482	negative	ovoid-shaped											anaerobe
AB547651.1.1480	negative	rod-shaped	no										anaerobe
AB547670.1.1491	negative	rod-shaped	no										anaerobe
AB547706.1.1493	negative	rod-shaped	no										anaerobe
AB547677.1.1479	negative	rod-shaped	no										anaerobe
AB547703.1.1492	negative	rod-shaped	no										anaerobe
AB547672.1.1495	negative	rod-shaped	no										anaerobe
AB547696.1.1280	negative	rod-shaped	no										anaerobe
AB547682.1.1492													anaerobe
AB547676.1.1493													anaerobe
AB547673.1.1490	negative	rod-shaped	no										anaerobe
AB547648.1.1487	negative	rod-shaped	no										anaerobe
AB547649.1.1485													anaerobe
AB548674.1.1491	negative	rod-shaped	no										facultative_anaerobe
AB547668.1.1490													anaerobe
AB525415.1.1503	negative	rod-shaped	no					0.0	0.0	0.0			
AB521998.1.1477													
AB490806.1.1463	positive	rod-shaped	no	7.0	7.0	7.0					7.0	7.0	anaerobe
JF747611.1.1274	negative	rod-shaped	yes										anaerobe
AB490801.1.1479	negative	rod-shaped	no	7.0	7.0	7.0					7.0	7.0	anaerobe
AB510707.1.1473													anaerobe
AB510708.1.1476													anaerobe
AB595135.1.1467													
AB595132.1.1457													
AB574479.1.1484													
JF810080.1.1222													
JF776388.1.1384													
LT615140.3.1322	negative	rod-shaped	yes					7.5	0.0	15.0	5.0	10.0	facultative_anaerobe
AB739697.1.1442													anaerobe
AB574481.1.1484	negative	rod-shaped	no										anaerobe
JF824799.1.1423													anaerobe
AB574482.1.1489	negative	rod-shaped	no										anaerobe
JF824807.1.1499													anaerobe
JF824809.1.1341													
AB574480.1.1486	negative	rod-shaped	no										anaerobe
AB595138.1.1492	negative	coccus-shaped	yes										anaerobe
AB571656.1.1493													anaerobe
AB558171.1.1473	negative	rod-shaped	no										anaerobe
AB554233.1.1486	negative	rod-shaped	no	7.0	7.0	7.0					7.0	7.0	anaerobe
