study_id	num_ASV	num_samples	density_percent
PRJNA416445	2101	80	6.2197
PRJNA706065	3146	64	6.7094
PRJNA437504	2554	407	1.4911
PRJNA720325	3434	176	4.3813
PRJNA296814	2014	158	3.2918
PRJEB48670	8523	113	3.0823
PRJNA531564	6012	59	2.5131
PRJEB27868	18146	541	0.9407
qiita_10928	2155	135	7.0822
PRJEB32249	1691	39	9.1556
PRJNA385551	7445	1352	2.4346
PRJNA503710	18731	235	1.3688
PRJNA517509	4034	280	4.1546
PRJNA400332	1408	50	11.2372
PRJNA596889	944	202	14.5725
PRJEB32411	71418	120	1.0346
PRJNA349463	856	80	8.5908
PRJNA419373	4947	100	4.3964
PRJEB35687	11771	75	3.8160
PRJNA559052	5611	172	4.7569
PRJNA622517	1302	78	4.6930
PRJNA753264	4395	52	5.2022
PRJNA682076	23659	661	0.8729
PRJNA356372	7520	325	1.2221
PRJNA449103	18588	406	1.0470
PRJNA725388	2631	90	5.3169
PRJNA743361	6991	267	1.8399
PRJEB26004	4258	144	6.5534
PRJEB27010	2872	124	4.2336
PRJNA639644	13172	227	1.3104
PRJNA517572	5949	558	0.6995
PRJNA541332	21969	430	1.4164
PRJNA451432	3404	222	2.2094
PRJNA323603	848	203	2.7076
PRJEB27068	23644	3546	0.4285
PRJNA408085	1590	36	12.2292
PRJNA727842	3988	112	2.6750
PRJDB4360	2768	89	3.3497
PRJEB28159	23531	928	0.3224
PRJEB17610	2038	170	2.7986
PRJEB15481	3015	272	5.0941
PRJNA680445	1221	64	4.6389
PRJNA561398	781	89	5.0166
PRJEB30292	5431	136	4.2836
PRJNA431126	14189	316	1.6188
PRJEB14529	4889	924	1.2683
PRJDB10527	9030	91	2.8682
PRJNA382889	2730	147	4.7494
PRJNA589036	4296	166	5.5026
PRJNA715072	1207	521	1.7691
PRJNA604825	3027	50	3.0651
PRJNA750272	3117	90	5.0394
PRJEB22786	2394	191	7.4556
PRJEB42155	3469	213	3.1497
PRJNA396815	12545	1995	1.4639
PRJNA275256	900	60	4.7981
PRJEB36860	1770	259	3.7672
PRJNA627982	1342	61	5.5484
PRJNA704289	1754	102	5.0434
PRJNA324825	2016	158	5.1603
PRJEB23313	609	38	5.3669
PRJNA241153	1857	108	5.7007
PRJNA342347	996	85	2.0612
PRJNA726866	13650	342	1.2498
