sample_id	project	instrument	geo_loc_name	region	seq_region	sample_type
10532.5d6c8197.eeb5.43a6.aa26.8cb87f5cf622	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.5e6d005d.2705.4981.804e.8b218288605f	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.5ebb0e88.cb56.4604.a7fd.6a66092dcda7	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.5f291738.ae0e.4805.a842.cd2bb5b50f26	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.5f2a8e9c.2b06.4f55.b367.1ac06421735a	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.6026474e.6bee.4712.b2d8.4a22451cf9e8	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.60345a80.4df2.4a0b.b7af.e2370c607aec	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.6045e855.8ac7.48ed.aecc.c8eab29ec9db	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.609c89d3.6145.4af8.af53.92591d65b765	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.60f2a3c7.0071.438e.9615.db72ab157a65	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.61c3930c.61c4.4c82.8475.7a10ccaeb71c	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.62b14bee.ba07.4ec5.93bf.c96452f606b5	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.62deb178.a741.4def.afbf.e0a77659194d	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.63200094.189d.4880.beaf.0a041635cab7	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
