project,instrument,geo_loc_name,region,seq_region,sample_type,shannon,read_depth
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.5959273109643695,30360.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.995474321406126,26253.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.5137005654074867,26252.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.6755113417590364,12334.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,1.7529731128374062,71888.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.24645634643625,8482.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.9879474946675812,18058.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.5819556105377255,51595.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,0.24819514274632987,37302.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.9460369558451074,12432.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.8825347504569856,31359.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.0942604143166244,17844.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.76733704093027,53894.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.387491593863953,19718.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.7337595255578075,61059.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.0923810592677374,21331.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.5988732619629267,26859.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,1.7546779784028197,92142.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.273804440209785,35766.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.7851469221723115,17525.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.3125097739954095,23637.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.471735236281105,50913.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.5884146362976406,21465.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.302286488750276,27010.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.1461590735452445,28494.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,4.557166353982642,21817.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,4.086230382053666,23135.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,4.165032054829146,17216.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.7368527239071296,16767.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.9931481512354696,42726.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.6725730236088308,78915.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.897445289772843,17848.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.385965238700016,57703.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.961855572171672,40152.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.410121108246103,79294.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.9237397280394637,27725.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.6331479396666335,61424.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.4744724938149956,17464.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.8262410029447085,16727.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.7880825731428933,41719.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.280407937115969,14434.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,4.255817065338997,35409.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.987652512193316,24919.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.8032077449241815,50972.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,4.2249043492192575,11830.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.9296995697943524,29339.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.8091017402281637,28230.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.560061140668643,59269.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.622875738064265,19668.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.3979474733395003,21797.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,1.9156530824989797,17518.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,4.202481057685279,15950.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.0685108009572457,14877.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.835056453682935,34473.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.496042344812831,27472.0
