terms,level_1,level_2,level_3,type,Number
metabolite_utilization.sucrose.growth,metabolite_utilization,growth,sucrose,1,3
metabolite_utilization.acetate.assimilation,metabolite_utilization,assimilation,acetate,1,2
metabolite_utilization.D-arabinose.degradation,metabolite_utilization,degradation,D-arabinose,1,2
metabolite_utilization.D-fucose.builds_acid_from,metabolite_utilization,builds_acid_from,D-fucose,1,2
metabolite_utilization.D-lyxose.builds_acid_from,metabolite_utilization,builds_acid_from,D-lyxose,1,2
metabolite_utilization.galactitol.builds_acid_from,metabolite_utilization,builds_acid_from,galactitol,1,2
metabolite_utilization.inulin.builds_acid_from,metabolite_utilization,builds_acid_from,inulin,1,2
metabolite_utilization.lactose.degradation,metabolite_utilization,degradation,lactose,1,2
metabolite_utilization.L-arabitol.builds_acid_from,metabolite_utilization,builds_acid_from,L-arabitol,1,2
metabolite_utilization.mannose.fermentation,metabolite_utilization,fermentation,mannose,1,2
metabolite_utilization.methyl_beta-D-xylopyranoside.builds_acid_from,metabolite_utilization,builds_acid_from,methyl_beta-D-xylopyranoside,1,2
metabolite_utilization.ornithine.degradation,metabolite_utilization,degradation,ornithine,1,2
metabolite_utilization.propionate.assimilation,metabolite_utilization,assimilation,propionate,1,2
metabolite_utilization.starch.hydrolysis,metabolite_utilization,hydrolysis,starch,1,2
metabolite_utilization.sucrose.degradation,metabolite_utilization,degradation,sucrose,1,2
metabolite_utilization.xylose.fermentation,metabolite_utilization,fermentation,xylose,1,2
metabolite_utilization.arabinose.fermentation,metabolite_utilization,fermentation,arabinose,1,1
metabolite_utilization.cellobiose.fermentation,metabolite_utilization,fermentation,cellobiose,1,1
metabolite_utilization.erythritol.builds_acid_from,metabolite_utilization,builds_acid_from,erythritol,1,1
metabolite_utilization.mannitol.builds_acid_from,metabolite_utilization,builds_acid_from,mannitol,1,1
metabolite_utilization.methyl_alpha-D-mannoside.builds_acid_from,metabolite_utilization,builds_acid_from,methyl_alpha-D-mannoside,1,1
metabolite_production.nitrite.,metabolite_production,,nitrite,1,1
metabolite_utilization.Potassium_2-ketogluconate.builds_acid_from,metabolite_utilization,builds_acid_from,Potassium_2-ketogluconate,1,1
metabolite_utilization.succinate.assimilation,metabolite_utilization,assimilation,succinate,1,1
metabolite_utilization.trehalose.fermentation,metabolite_utilization,fermentation,trehalose,1,1
metabolite_utilization.xylitol.builds_acid_from,metabolite_utilization,builds_acid_from,xylitol,1,1
metabolite_utilization.nitrate.reduction,metabolite_utilization,reduction,nitrate,0,253
metabolite_utilization.urea.hydrolysis,metabolite_utilization,hydrolysis,urea,0,237
metabolite_utilization.tryptophan.energy_source,metabolite_utilization,energy_source,tryptophan,0,169
