otu,n_folds_in_top,mean_rank_diff,case_minus_control,enrichment,frac_folds
FJ364934.1.1401,1,29.0,-0.2587143943586314,0.5574767390961364,0.14285714285714285
DQ808102.1.1318,1,30.0,-0.2577921240378189,0.2558924335668493,0.14285714285714285
KU324909.1.1217,1,26.0,-0.25083293888323877,0.5905195363902249,0.14285714285714285
FJ367645.1.1320,1,8.0,0.243633816410871,0.18045448960989005,0.14285714285714285
EU475681.1.1364,1,14.0,-0.23693411778470486,0.1325224726592417,0.14285714285714285
GQ493505.1.1359,1,9.0,0.23321454537113023,0.2076246943431328,0.14285714285714285
KF084610.1.1355,1,22.0,0.22448570043607502,0.32983891546780003,0.14285714285714285
DQ800502.1.1288,1,16.0,-0.21490407768975606,0.12020058582647372,0.14285714285714285
HQ767549.1.1330,1,23.0,-0.21069746303866982,0.4244177219357848,0.14285714285714285
EF071211.1.1211,1,17.0,-0.20860483171011257,0.18694099009768395,0.14285714285714285
EF603170.1.1478,1,24.0,0.2072938801183254,0.5621393920293102,0.14285714285714285
DQ800324.1.1398,1,10.0,0.20639883125368033,0.3264005146540239,0.14285714285714285
GQ014254.1.1331,1,28.0,0.20602455099141942,0.17986824103156288,0.14285714285714285
LC099978.1.1200,1,25.0,0.20262179851739962,0.2242375617941817,0.14285714285714285
JF021752.1.1274,1,26.0,0.20147462221665885,0.5220778032743143,0.14285714285714285
LN998062.1.1487,1,11.0,-0.20082449359019316,0.28979791476379085,0.14285714285714285
DQ794427.1.1242,1,28.0,-0.1974811679425575,0.41493102763636497,0.14285714285714285
EF402071.1.1478,1,12.0,0.19695776798439996,0.2763038986755133,0.14285714285714285
GQ138429.1.1362,1,20.0,-0.1963573291361558,0.23333463049625275,0.14285714285714285
LARF01000109.1.1225,1,21.0,-0.19471963794258654,0.3105828539891916,0.14285714285714285
AY538696.1.1466,1,13.0,0.19263253803490304,0.20420327187999718,0.14285714285714285
EU775597.1.1351,1,14.0,-0.19185281184322847,0.30543440156707574,0.14285714285714285
KF571471.1.1207,1,29.0,0.1903426192338093,0.25559147746402266,0.14285714285714285
EU762506.1.1327,1,15.0,0.1894786492822907,0.39780639493883607,0.14285714285714285
FJ366838.1.1357,1,22.0,0.18939422682309764,0.08346186266780574,0.14285714285714285
ABIK02000013.103269.104574,1,30.0,-0.18880465178152267,0.49473638390967,0.14285714285714285
HM308748.1.1356,1,16.0,0.18802369727860563,0.33010266176607533,0.14285714285714285
AM696869.1.1522,1,17.0,-0.18641273117839147,0.43271461702134534,0.14285714285714285
FJ365054.1.1355,1,24.0,-0.18125317249484738,0.10137889309033837,0.14285714285714285
GQ493436.1.1333,1,25.0,-0.17964164303107694,0.10047752915297523,0.14285714285714285
JF057160.1.1343,1,18.0,0.173793885516158,0.21107880967392229,0.14285714285714285
EU763456.1.1359,1,19.0,0.17363315639480092,0.47240169816102606,0.14285714285714285
KF843440.1.1336,1,20.0,0.17036302676060214,0.31704399863172783,0.14285714285714285
BAAV01000888.1.1300,1,27.0,-0.16984527210488615,0.09499820304171597,0.14285714285714285
DQ807658.1.1289,1,29.0,-0.16846523304989455,0.23582168533282594,0.14285714285714285
KF842108.1.1243,1,30.0,-0.16694228552215282,0.14051992323586326,0.14285714285714285
FJ507231.1.1307,1,21.0,0.15877264136824604,0.5279360856500216,0.14285714285714285
AY981777.1.1355,1,22.0,0.15825882192999596,0.344989938352537,0.14285714285714285
DQ905725.1.1572,1,24.0,-0.15229065062478184,0.07465227971803032,0.14285714285714285
HQ790085.1.1320,1,25.0,0.15193074460493589,0.559803905827602,0.14285714285714285
GQ493546.1.1366,1,26.0,0.14370881794587687,0.07326331895279997,0.14285714285714285
FJ371179.1.1259,1,27.0,-0.14239925844362006,0.12277732547326928,0.14285714285714285
GQ491968.1.1295,1,29.0,0.1381137507155728,0.166949718265362,0.14285714285714285
HQ767134.1.1448,1,30.0,-0.1372972610995221,0.1354707996984883,0.14285714285714285
