task,source,disease,fid,group,importance,importance_sample_pooled,importance_fold_pooled
lodo,attn,ASD,DQ809336.1.1310,ASD,0.1766181174923246,0.1766181174923246,0.1766181174923246
lodo,attn,ASD,FJ366337.1.1331,ASD,0.178515117625525,0.178515117625525,0.178515117625525
lodo,attn,ASD,GEMC01068557.118.1431,ASD,0.180042646837029,0.180042646837029,0.180042646837029
lodo,attn,ASD,MH337931.1.1279,ASD,0.1811075625161613,0.1811075625161613,0.1811075625161613
lodo,attn,ASD,JQ083407.1.1518,ASD,0.1860788342786268,0.1860788342786268,0.1860788342786268
lodo,attn,ASD,GQ493297.1.1338,ASD,0.1912950815060395,0.1912950815060395,0.1912950815060395
lodo,attn,ASD,GQ492203.1.1207,ASD,0.1922028639097198,0.1922028639097198,0.1922028639097198
lodo,attn,ASD,FJ364700.1.1381,ASD,0.1948459805283342,0.1948459805283342,0.1948459805283342
lodo,attn,ASD,DQ904893.1.1249,ASD,0.1964534632132764,0.1964534632132764,0.1964534632132764
lodo,attn,ASD,FJ365350.1.1344,ASD,0.1965825700963713,0.1965825700963713,0.1965825700963713
lodo,attn,ASD,HQ759624.1.1344,ASD,0.2000264258548914,0.2000264258548914,0.2000264258548914
lodo,attn,ASD,FJ512259.1.1422,ASD,0.2099601779898889,0.2099601779898889,0.2099601779898889
lodo,attn,ASD,HQ754370.1.1215,ASD,0.2101473740173725,0.2101473740173725,0.2101473740173725
lodo,attn,ASD,KY003111.1.1207,ASD,0.2127190377832402,0.2127190377832402,0.2127190377832402
lodo,attn,ASD,HQ616222.1.1338,ASD,0.2175640193351176,0.2175640193351176,0.2175640193351176
lodo,attn,ASD,HM308748.1.1356,ASD,0.2335669980087111,0.2335669980087111,0.2335669980087111
lodo,attn,ASD,MH685147.1.1453,ASD,0.2467408460828028,0.2467408460828028,0.2467408460828028
lodo,attn,ASD,DQ809763.1.1227,ASD,0.2499935310189619,0.2499935310189619,0.2499935310189619
lodo,attn,ASD,JQ467954.1.1230,ASD,0.297614029073098,0.297614029073098,0.297614029073098
lodo,attn,ASD,FJ365251.1.1334,ASD,0.324530324980904,0.324530324980904,0.324530324980904
lodo,attn,ASD,FJ558238.1.1275,ASD,0.3615584464228744,0.3615584464228744,0.3615584464228744
lodo,attn,ASD,JF058250.1.1351,ASD,0.393336082597908,0.393336082597908,0.393336082597908
lodo,attn,ASD,JQ449983.1.1321,ASD,0.3984344698882841,0.3984344698882841,0.3984344698882841
lodo,attn,ASD,MG755769.1.1243,ASD,0.4189853536028472,0.4189853536028472,0.4189853536028472
lodo,attn,ASD,FJ681503.1.1439,ASD,0.5283359420897596,0.5283359420897596,0.5283359420897596
lodo,attn,BD,AY212767.1.1222,Ctrl,-0.4575507945656782,-0.4575507945656782,-0.4575507945656782
lodo,attn,BD,DQ823841.1.1286,Ctrl,-0.2193689224988904,-0.2193689224988904,-0.2193689224988904
lodo,attn,BD,FJ382054.1.1201,Ctrl,-0.1945052673151421,-0.1945052673151421,-0.1945052673151421
lodo,attn,BD,DQ799352.1.1291,Ctrl,-0.1914345839259449,-0.1914345839259449,-0.1914345839259449
lodo,attn,BD,GQ491279.1.1262,Ctrl,-0.1871397261375116,-0.1871397261375116,-0.1871397261375116
lodo,attn,BD,DQ796116.1.1201,Ctrl,-0.1757176909567244,-0.1757176909567244,-0.1757176909567244
lodo,attn,BD,AF349756.1.1335,Ctrl,-0.159430945487626,-0.159430945487626,-0.159430945487626
