attention_weight,group1,group2
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0006641228774598981,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.00826845006725073,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0008090473163653814,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.003306655642375633,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.00040292234032177353,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.00018517273094724118,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.005283304686457191,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.003435521295257634,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.00018644950115213137,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0016173270585782334,Non-biomarker,Model_1
0.00010459311306476569,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
9.90802038680098e-05,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.001762845535196507,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0027647279933387067,Non-biomarker,Model_1
0.000495029640767502,Non-biomarker,Model_1
0.00032009728545067154,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.000765926889417798,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
9.948465352257058e-05,Non-biomarker,Model_1
0.00010062364277009804,Non-biomarker,Model_1
0.0009041443357572824,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.00012933814386818923,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0001423849961629098,Non-biomarker,Model_1
0.00020587827791185883,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0001217030792259696,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0005394489522658127,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0005214337679539216,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.00030033867440971566,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0001289988046183304,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.00022066156288572353,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.00020187901442541764,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0007638354402254589,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.002066211268196203,Non-biomarker,Model_1
0.0015550503215076852,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
7.895077122192745e-05,Non-biomarker,Model_1
0.0012093621132639638,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.00010247041891310687,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.002100796785716911,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.001532652807951554,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0004488682310443872,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0005546475523242755,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0012749851973471648,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.00022277886084481766,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.00013945370401237451,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.003324983221497012,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0007921903321117726,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.00143483051044099,Non-biomarker,Model_1
0.0017835971643673394,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0013145646171680812,Non-biomarker,Model_1
0.0006131837327106314,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0020870371520811393,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.005873960871979872,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.00022598566925700883,Non-biomarker,Model_1
0.0016607867608613776,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.002686748367862073,Non-biomarker,Model_1
0.00029048031451655296,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0008522440250232469,Non-biomarker,Model_1
0.0026713676668484354,Non-biomarker,Model_1
0.000515959805388951,Non-biomarker,Model_1
0.0005631792340792833,Non-biomarker,Model_1
0.004277593999480192,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.004496631477320301,Non-biomarker,Model_1
0.0026425837685226166,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
9.377096213546373e-05,Non-biomarker,Model_1
